agents,map_file,solver,solved,soc,makespan,comp_time,Opti_Deadline,Scenario_File
20,random-32-32-20.map,PIBTOLD,1,577,42,0,0,random-32-32-20-random-2.scen
20,random-32-32-20.map,PIBT,1,566,42,0,1,random-32-32-20-random-2.scen
20,random-32-32-20.map,PIBTOLD,1,577,42,0,1,random-32-32-20-random-2.scen
20,random-32-32-20.map,PIBT,1,566,42,0,10,random-32-32-20-random-2.scen
20,random-32-32-20.map,PIBTOLD,1,577,42,0,10,random-32-32-20-random-2.scen
20,random-32-32-20.map,PIBT,1,566,42,0,100,random-32-32-20-random-2.scen
20,random-32-32-20.map,PIBTOLD,1,577,42,0,100,random-32-32-20-random-2.scen
20,random-32-32-20.map,PIBT,1,566,42,0,1000,random-32-32-20-random-2.scen
20,random-32-32-20.map,PIBTOLD,1,577,42,0,1000,random-32-32-20-random-2.scen
60,random-32-32-20.map,PIBT,1,1711,48,2,0,random-32-32-20-random-2.scen
60,random-32-32-20.map,PIBTOLD,1,1711,48,1,0,random-32-32-20-random-2.scen
60,random-32-32-20.map,PIBT,1,1751,49,2,1,random-32-32-20-random-2.scen
60,random-32-32-20.map,PIBTOLD,1,1711,48,1,1,random-32-32-20-random-2.scen
60,random-32-32-20.map,PIBT,1,1751,49,2,10,random-32-32-20-random-2.scen
60,random-32-32-20.map,PIBTOLD,1,1711,48,2,10,random-32-32-20-random-2.scen
60,random-32-32-20.map,PIBT,1,1751,49,2,100,random-32-32-20-random-2.scen
60,random-32-32-20.map,PIBTOLD,1,1711,48,1,100,random-32-32-20-random-2.scen
60,random-32-32-20.map,PIBT,1,1751,49,2,1000,random-32-32-20-random-2.scen
60,random-32-32-20.map,PIBTOLD,1,1711,48,1,1000,random-32-32-20-random-2.scen
100,random-32-32-20.map,PIBT,1,3446,54,3,0,random-32-32-20-random-2.scen
100,random-32-32-20.map,PIBTOLD,1,3446,54,3,0,random-32-32-20-random-2.scen
100,random-32-32-20.map,PIBT,1,3278,61,10,1,random-32-32-20-random-2.scen
100,random-32-32-20.map,PIBTOLD,1,3446,54,3,1,random-32-32-20-random-2.scen
100,random-32-32-20.map,PIBT,0,3207,100000,4441,10,random-32-32-20-random-2.scen
100,random-32-32-20.map,PIBTOLD,1,3446,54,2,10,random-32-32-20-random-2.scen
100,random-32-32-20.map,PIBT,0,3117,100000,4312,100,random-32-32-20-random-2.scen
100,random-32-32-20.map,PIBTOLD,1,3446,54,3,100,random-32-32-20-random-2.scen
100,random-32-32-20.map,PIBT,0,3117,100000,4478,1000,random-32-32-20-random-2.scen
100,random-32-32-20.map,PIBTOLD,1,3446,54,3,1000,random-32-32-20-random-2.scen
140,random-32-32-20.map,PIBT,1,5501,71,6,0,random-32-32-20-random-2.scen
140,random-32-32-20.map,PIBTOLD,1,5501,71,4,0,random-32-32-20-random-2.scen
140,random-32-32-20.map,PIBT,0,5207,100000,6513,1,random-32-32-20-random-2.scen
140,random-32-32-20.map,PIBTOLD,1,5501,71,4,1,random-32-32-20-random-2.scen
140,random-32-32-20.map,PIBT,0,4955,100000,51224,10,random-32-32-20-random-2.scen
140,random-32-32-20.map,PIBTOLD,1,5501,71,4,10,random-32-32-20-random-2.scen
140,random-32-32-20.map,PIBT,0,5044,100000,8130,100,random-32-32-20-random-2.scen
140,random-32-32-20.map,PIBTOLD,1,5501,71,4,100,random-32-32-20-random-2.scen
140,random-32-32-20.map,PIBT,0,5296,100000,19274,1000,random-32-32-20-random-2.scen
140,random-32-32-20.map,PIBTOLD,1,5501,71,4,1000,random-32-32-20-random-2.scen
180,random-32-32-20.map,PIBT,0,407441,100000,7615,0,random-32-32-20-random-2.scen
180,random-32-32-20.map,PIBTOLD,0,407441,100000,4699,0,random-32-32-20-random-2.scen
180,random-32-32-20.map,PIBT,0,207016,100000,8388,1,random-32-32-20-random-2.scen
180,random-32-32-20.map,PIBTOLD,0,407441,100000,4530,1,random-32-32-20-random-2.scen
180,random-32-32-20.map,PIBT,0,7146,100000,8773,10,random-32-32-20-random-2.scen
180,random-32-32-20.map,PIBTOLD,0,407441,100000,4619,10,random-32-32-20-random-2.scen
180,random-32-32-20.map,PIBT,0,207207,100000,10823,100,random-32-32-20-random-2.scen
180,random-32-32-20.map,PIBTOLD,0,407441,100000,4574,100,random-32-32-20-random-2.scen
180,random-32-32-20.map,PIBT,0,206984,100000,30282,1000,random-32-32-20-random-2.scen
180,random-32-32-20.map,PIBTOLD,0,407441,100000,4587,1000,random-32-32-20-random-2.scen
220,random-32-32-20.map,PIBT,0,210083,100000,9512,0,random-32-32-20-random-2.scen
220,random-32-32-20.map,PIBTOLD,0,210083,100000,5607,0,random-32-32-20-random-2.scen
220,random-32-32-20.map,PIBT,0,10460,100000,14337,1,random-32-32-20-random-2.scen
220,random-32-32-20.map,PIBTOLD,0,210083,100000,5410,1,random-32-32-20-random-2.scen
220,random-32-32-20.map,PIBT,0,10043,100000,18874,10,random-32-32-20-random-2.scen
220,random-32-32-20.map,PIBTOLD,0,210083,100000,5405,10,random-32-32-20-random-2.scen
220,random-32-32-20.map,PIBT,0,209580,100000,16834,100,random-32-32-20-random-2.scen
220,random-32-32-20.map,PIBTOLD,0,210083,100000,5634,100,random-32-32-20-random-2.scen
220,random-32-32-20.map,PIBT,0,209613,100000,48041,1000,random-32-32-20-random-2.scen
220,random-32-32-20.map,PIBTOLD,0,210083,100000,5755,1000,random-32-32-20-random-2.scen
260,random-32-32-20.map,PIBT,0,1013296,100000,11973,0,random-32-32-20-random-2.scen
