agents,map_file,solver,solved,soc,makespan,comp_time,Opti_Deadline,Scenario_File
220,warehouse-10-20-10-2-1.map,PIBT,0,227604,100000,10758,1,warehouse-10-20-10-2-1-random-16.scen
220,warehouse-10-20-10-2-1.map,PIBTOLD,0,1025739,100000,5432,1,warehouse-10-20-10-2-1-random-16.scen
220,warehouse-10-20-10-2-1.map,PIBT,0,227604,100000,11527,10,warehouse-10-20-10-2-1-random-16.scen
220,warehouse-10-20-10-2-1.map,PIBTOLD,0,1025739,100000,5616,10,warehouse-10-20-10-2-1-random-16.scen
220,warehouse-10-20-10-2-1.map,PIBT,0,227604,100000,11053,100,warehouse-10-20-10-2-1-random-16.scen
220,warehouse-10-20-10-2-1.map,PIBTOLD,0,1025739,100000,5532,100,warehouse-10-20-10-2-1-random-16.scen
220,warehouse-10-20-10-2-1.map,PIBT,0,227604,100000,10949,1000,warehouse-10-20-10-2-1-random-16.scen
220,warehouse-10-20-10-2-1.map,PIBTOLD,0,1025739,100000,5412,1000,warehouse-10-20-10-2-1-random-16.scen
260,warehouse-10-20-10-2-1.map,PIBT,0,1529853,100000,12156,0,warehouse-10-20-10-2-1-random-16.scen
260,warehouse-10-20-10-2-1.map,PIBTOLD,0,1529853,100000,6681,0,warehouse-10-20-10-2-1-random-16.scen
260,warehouse-10-20-10-2-1.map,PIBT,0,433399,100000,15378,1,warehouse-10-20-10-2-1-random-16.scen
260,warehouse-10-20-10-2-1.map,PIBTOLD,0,1529853,100000,6424,1,warehouse-10-20-10-2-1-random-16.scen
260,warehouse-10-20-10-2-1.map,PIBT,0,433399,100000,15530,10,warehouse-10-20-10-2-1-random-16.scen
260,warehouse-10-20-10-2-1.map,PIBTOLD,0,1529853,100000,6621,10,warehouse-10-20-10-2-1-random-16.scen
260,warehouse-10-20-10-2-1.map,PIBT,0,433399,100000,15607,100,warehouse-10-20-10-2-1-random-16.scen
260,warehouse-10-20-10-2-1.map,PIBTOLD,0,1529853,100000,6509,100,warehouse-10-20-10-2-1-random-16.scen
260,warehouse-10-20-10-2-1.map,PIBT,0,433399,100000,15987,1000,warehouse-10-20-10-2-1-random-16.scen
260,warehouse-10-20-10-2-1.map,PIBTOLD,0,1529853,100000,6641,1000,warehouse-10-20-10-2-1-random-16.scen
300,warehouse-10-20-10-2-1.map,PIBT,0,2234973,100000,15861,0,warehouse-10-20-10-2-1-random-16.scen
300,warehouse-10-20-10-2-1.map,PIBTOLD,0,2234973,100000,7609,0,warehouse-10-20-10-2-1-random-16.scen
300,warehouse-10-20-10-2-1.map,PIBT,0,1235008,100000,20787,1,warehouse-10-20-10-2-1-random-16.scen
300,warehouse-10-20-10-2-1.map,PIBTOLD,0,2234973,100000,7637,1,warehouse-10-20-10-2-1-random-16.scen
300,warehouse-10-20-10-2-1.map,PIBT,0,1235008,100000,20458,10,warehouse-10-20-10-2-1-random-16.scen
300,warehouse-10-20-10-2-1.map,PIBTOLD,0,2234973,100000,7626,10,warehouse-10-20-10-2-1-random-16.scen
300,warehouse-10-20-10-2-1.map,PIBT,0,1235008,100000,20456,100,warehouse-10-20-10-2-1-random-16.scen
300,warehouse-10-20-10-2-1.map,PIBTOLD,0,2234973,100000,7509,100,warehouse-10-20-10-2-1-random-16.scen
300,warehouse-10-20-10-2-1.map,PIBT,0,1235008,100000,20310,1000,warehouse-10-20-10-2-1-random-16.scen
300,warehouse-10-20-10-2-1.map,PIBTOLD,0,2234973,100000,7693,1000,warehouse-10-20-10-2-1-random-16.scen
340,warehouse-10-20-10-2-1.map,PIBT,0,3340853,100000,18286,0,warehouse-10-20-10-2-1-random-16.scen
340,warehouse-10-20-10-2-1.map,PIBTOLD,0,3340853,100000,8506,0,warehouse-10-20-10-2-1-random-16.scen
340,warehouse-10-20-10-2-1.map,PIBT,0,843039,100000,22278,1,warehouse-10-20-10-2-1-random-16.scen
340,warehouse-10-20-10-2-1.map,PIBTOLD,0,3340853,100000,8541,1,warehouse-10-20-10-2-1-random-16.scen
340,warehouse-10-20-10-2-1.map,PIBT,0,844153,100000,22220,10,warehouse-10-20-10-2-1-random-16.scen
340,warehouse-10-20-10-2-1.map,PIBTOLD,0,3340853,100000,8882,10,warehouse-10-20-10-2-1-random-16.scen
340,warehouse-10-20-10-2-1.map,PIBT,0,844153,100000,22492,100,warehouse-10-20-10-2-1-random-16.scen
340,warehouse-10-20-10-2-1.map,PIBTOLD,0,3340853,100000,8694,100,warehouse-10-20-10-2-1-random-16.scen
340,warehouse-10-20-10-2-1.map,PIBT,0,844153,100000,22554,1000,warehouse-10-20-10-2-1-random-16.scen
340,warehouse-10-20-10-2-1.map,PIBTOLD,0,3340853,100000,8580,1000,warehouse-10-20-10-2-1-random-16.scen
380,warehouse-10-20-10-2-1.map,PIBT,0,4047546,100000,22070,0,warehouse-10-20-10-2-1-random-16.scen
380,warehouse-10-20-10-2-1.map,PIBTOLD,0,4047546,100000,9592,0,warehouse-10-20-10-2-1-random-16.scen
380,warehouse-10-20-10-2-1.map,PIBT,0,1048497,100000,32454,1,warehouse-10-20-10-2-1-random-16.scen
380,warehouse-10-20-10-2-1.map,PIBTOLD,0,4047546,100000,9994,1,warehouse-10-20-10-2-1-random-16.scen
380,warehouse-10-20-10-2-1.map,PIBT,0,850483,100000,27592,10,warehouse-10-20-10-2-1-random-16.scen
380,warehouse-10-20-10-2-1.map,PIBTOLD,0,4047546,100000,9787,10,warehouse-10-20-10-2-1-random-16.scen
380,warehouse-10-20-10-2-1.map,PIBT,0,850483,100000,27311,100,warehouse-10-20-10-2-1-random-16.scen
380,warehouse-10-20-10-2-1.map,PIBTOLD,0,4047546,100000,9853,100,warehouse-10-20-10-2-1-random-16.scen
380,warehouse-10-20-10-2-1.map,PIBT,0,850483,100000,27440,1000,warehouse-10-20-10-2-1-random-16.scen
380,warehouse-10-20-10-2-1.map,PIBTOLD,0,4047546,100000,9549,1000,warehouse-10-20-10-2-1-random-16.scen
420,warehouse-10-20-10-2-1.map,PIBT,0,3556026,100000,25709,0,warehouse-10-20-10-2-1-random-16.scen
420,warehouse-10-20-10-2-1.map,PIBTOLD,0,3556026,100000,10787,0,warehouse-10-20-10-2-1-random-16.scen
420,warehouse-10-20-10-2-1.map,PIBT,0,1858046,100000,35578,1,warehouse-10-20-10-2-1-random-16.scen
420,warehouse-10-20-10-2-1.map,PIBTOLD,0,3556026,100000,10524,1,warehouse-10-20-10-2-1-random-16.scen
420,warehouse-10-20-10-2-1.map,PIBT,0,863578,100000,32920,10,warehouse-10-20-10-2-1-random-16.scen
420,warehouse-10-20-10-2-1.map,PIBTOLD,0,3556026,100000,10808,10,warehouse-10-20-10-2-1-random-16.scen
420,warehouse-10-20-10-2-1.map,PIBT,0,658371,100000,35690,100,warehouse-10-20-10-2-1-random-16.scen
420,warehouse-10-20-10-2-1.map,PIBTOLD,0,3556026,100000,10558,100,warehouse-10-20-10-2-1-random-16.scen
420,warehouse-10-20-10-2-1.map,PIBT,0,457143,100000,41523,1000,warehouse-10-20-10-2-1-random-16.scen
420,warehouse-10-20-10-2-1.map,PIBTOLD,0,3556026,100000,10707,1000,warehouse-10-20-10-2-1-random-16.scen
460,warehouse-10-20-10-2-1.map,PIBT,0,4162670,100000,30731,0,warehouse-10-20-10-2-1-random-16.scen
460,warehouse-10-20-10-2-1.map,PIBTOLD,0,4162670,100000,11932,0,warehouse-10-20-10-2-1-random-16.scen
460,warehouse-10-20-10-2-1.map,PIBT,0,1060723,100000,55122,1,warehouse-10-20-10-2-1-random-16.scen
460,warehouse-10-20-10-2-1.map,PIBTOLD,0,4162670,100000,12116,1,warehouse-10-20-10-2-1-random-16.scen
460,warehouse-10-20-10-2-1.map,PIBT,0,1061699,100000,53409,10,warehouse-10-20-10-2-1-random-16.scen
460,warehouse-10-20-10-2-1.map,PIBTOLD,0,4162670,100000,12006,10,warehouse-10-20-10-2-1-random-16.scen
20,warehouse-10-20-10-2-1.map,PIBT,1,1727,162,4,0,warehouse-10-20-10-2-1-random-17.scen
20,warehouse-10-20-10-2-1.map,PIBTOLD,1,1727,162,3,0,warehouse-10-20-10-2-1-random-17.scen
20,warehouse-10-20-10-2-1.map,PIBT,1,1690,170,4,1,warehouse-10-20-10-2-1-random-17.scen
20,warehouse-10-20-10-2-1.map,PIBTOLD,1,1727,162,3,1,warehouse-10-20-10-2-1-random-17.scen
20,warehouse-10-20-10-2-1.map,PIBT,1,1690,170,4,10,warehouse-10-20-10-2-1-random-17.scen
20,warehouse-10-20-10-2-1.map,PIBTOLD,1,1727,162,3,10,warehouse-10-20-10-2-1-random-17.scen
20,warehouse-10-20-10-2-1.map,PIBT,1,1690,170,4,100,warehouse-10-20-10-2-1-random-17.scen
20,warehouse-10-20-10-2-1.map,PIBTOLD,1,1727,162,3,100,warehouse-10-20-10-2-1-random-17.scen
